   5,090,275 attempts |    68 sec | 74,856 attempts / sec |  20 solutions found | searching for (0,1,0)
   5,165,587 attempts |    69 sec | 74,863 attempts / sec |  20 solutions found | searching for (0,1,0)
   5,242,133 attempts |    70 sec | 74,887 attempts / sec |  20 solutions found | searching for (0,1,0)
   5,319,499 attempts |    71 sec | 74,922 attempts / sec |  20 solutions found | searching for (0,1,0)
   5,395,325 attempts |    72 sec | 74,934 attempts / sec |  20 solutions found | searching for (0,1,0)
   5,470,277 attempts |    73 sec | 74,935 attempts / sec |  20 solutions found | searching for (0,1,0)
   5,545,388 attempts |    74 sec | 74,937 attempts / sec |  20 solutions found | searching for (0,1,0)
   5,619,855 attempts |    75 sec | 74,931 attempts / sec |  20 solutions found | searching for (0,1,0)
   5,695,054 attempts |    76 sec | 74,934 attempts / sec |  20 solutions found | searching for (0,1,0)
   5,771,040 attempts |    77 sec | 74,948 attempts / sec |  20 solutions found | searching for (0,1,0)
   5,847,231 attempts |    78 sec | 74,964 attempts / sec |  20 solutions found | searching for (0,1,0)
   5,922,929 attempts |    79 sec | 74,973 attempts / sec |  22 solutions found | searching for (0,1,0)
   5,999,083 attempts |    80 sec | 74,988 attempts / sec |  22 solutions found | searching for (0,1,0)
   6,076,245 attempts |    81 sec | 75,015 attempts / sec |  22 solutions found | searching for (0,1,0)
   6,152,303 attempts |    82 sec | 75,027 attempts / sec |  24 solutions found | searching for (0,1,0)
   6,229,486 attempts |    83 sec | 75,053 attempts / sec |  24 solutions found | searching for (0,1,0)
   6,306,273 attempts |    84 sec | 75,074 attempts / sec |  24 solutions found | searching for (0,1,0)
   6,382,937 attempts |    85 sec | 75,093 attempts / sec |  24 solutions found | searching for (0,1,0)
   6,460,077 attempts |    86 sec | 75,117 attempts / sec |  24 solutions found | searching for (0,1,0)
   6,536,528 attempts |    87 sec | 75,132 attempts / sec |  24 solutions found | searching for (0,1,0)
   6,612,065 attempts |    88 sec | 75,136 attempts / sec |  24 solutions found | searching for (0,1,1)
   6,687,646 attempts |    89 sec | 75,141 attempts / sec |  24 solutions found | searching for (0,1,2)
   6,761,700 attempts |    90 sec | 75,129 attempts / sec |  24 solutions found | searching for (0,1,2)
   6,838,433 attempts |    91 sec | 75,147 attempts / sec |  24 solutions found | searching for (0,1,3)
   6,916,103 attempts |    92 sec | 75,174 attempts / sec |  26 solutions found | searching for (0,1,3)
   6,994,430 attempts |    93 sec | 75,208 attempts / sec |  26 solutions found | searching for (0,1,3)
   7,072,909 attempts |    94 sec | 75,243 attempts / sec |  28 solutions found | searching for (0,1,3)
   7,150,093 attempts |    95 sec | 75,263 attempts / sec |  28 solutions found | searching for (0,1,3)
   7,227,631 attempts |    96 sec | 75,287 attempts / sec |  28 solutions found | searching for (0,1,3)
   7,304,076 attempts |    97 sec | 75,299 attempts / sec |  28 solutions found | searching for (0,1,3)
   7,381,171 attempts |    98 sec | 75,317 attempts / sec |  28 solutions found | searching for (0,1,3)
   7,458,403 attempts |    99 sec | 75,337 attempts / sec |  28 solutions found | searching for (0,1,3)
   7,536,622 attempts |   100 sec | 75,366 attempts / sec |  28 solutions found | searching for (0,1,3)
   7,613,319 attempts |   101 sec | 75,379 attempts / sec |  28 solutions found | searching for (0,1,3)
   7,689,850 attempts |   102 sec | 75,390 attempts / sec |  28 solutions found | searching for (0,1,3)
   7,767,174 attempts |   103 sec | 75,409 attempts / sec |  28 solutions found | searching for (0,1,3)
   7,845,076 attempts |   104 sec | 75,433 attempts / sec |  28 solutions found | searching for (0,1,3)
   7,920,737 attempts |   105 sec | 75,435 attempts / sec |  28 solutions found | searching for (0,1,3)
   7,998,625 attempts |   106 sec | 75,458 attempts / sec |  28 solutions found | searching for (0,1,3)
   8,073,027 attempts |   107 sec | 75,448 attempts / sec |  30 solutions found | searching for (0,1,3)
   8,147,785 attempts |   108 sec | 75,442 attempts / sec |  30 solutions found | searching for (0,1,3)
   8,223,502 attempts |   109 sec | 75,444 attempts / sec |  30 solutions found | searching for (0,1,3)
   8,299,887 attempts |   110 sec | 75,453 attempts / sec |  32 solutions found | searching for (0,1,3)
   8,376,958 attempts |   111 sec | 75,467 attempts / sec |  32 solutions found | searching for (0,1,3)
   8,453,932 attempts |   112 sec | 75,481 attempts / sec |  32 solutions found | searching for (0,1,3)
   8,531,167 attempts |   113 sec | 75,496 attempts / sec |  32 solutions found | searching for (0,1,3)
   8,608,954 attempts |   114 sec | 75,516 attempts / sec |  32 solutions found | searching for (0,1,3)
   8,686,416 attempts |   115 sec | 75,533 attempts / sec |  32 solutions found | searching for (0,1,3)
