   6,800,000 attempts |    88 sec | 77,028 attempts / sec |  24 solutions found | searching for (0,1,3)
   6,900,000 attempts |    90 sec | 77,012 attempts / sec |  24 solutions found | searching for (0,1,3)
   7,000,000 attempts |    91 sec | 77,001 attempts / sec |  24 solutions found | searching for (0,1,3)
   7,100,000 attempts |    92 sec | 77,001 attempts / sec |  24 solutions found | searching for (0,1,3)
   7,200,000 attempts |    94 sec | 76,995 attempts / sec |  24 solutions found | searching for (0,1,3)
   7,300,000 attempts |    95 sec | 77,008 attempts / sec |  24 solutions found | searching for (0,1,3)
   7,400,000 attempts |    96 sec | 77,020 attempts / sec |  26 solutions found | searching for (0,1,3)
   7,500,000 attempts |    97 sec | 77,044 attempts / sec |  28 solutions found | searching for (0,1,3)
   7,600,000 attempts |    99 sec | 77,043 attempts / sec |  28 solutions found | searching for (0,1,3)
   7,700,000 attempts |   100 sec | 77,056 attempts / sec |  28 solutions found | searching for (0,1,3)
   7,800,000 attempts |   101 sec | 77,045 attempts / sec |  28 solutions found | searching for (0,1,3)
   7,900,000 attempts |   103 sec | 77,052 attempts / sec |  28 solutions found | searching for (0,1,3)
   8,000,000 attempts |   104 sec | 77,062 attempts / sec |  28 solutions found | searching for (0,1,3)
   8,100,000 attempts |   105 sec | 77,069 attempts / sec |  28 solutions found | searching for (0,1,3)
   8,200,000 attempts |   106 sec | 77,076 attempts / sec |  28 solutions found | searching for (0,1,3)
   8,300,000 attempts |   108 sec | 77,078 attempts / sec |  28 solutions found | searching for (0,1,3)
   8,400,000 attempts |   109 sec | 77,067 attempts / sec |  30 solutions found | searching for (0,1,3)
   8,500,000 attempts |   110 sec | 77,087 attempts / sec |  32 solutions found | searching for (0,1,3)
   8,600,000 attempts |   112 sec | 77,100 attempts / sec |  32 solutions found | searching for (0,1,3)
   8,700,000 attempts |   113 sec | 77,115 attempts / sec |  32 solutions found | searching for (0,1,3)
   8,800,000 attempts |   114 sec | 77,124 attempts / sec |  34 solutions found | searching for (0,2,0)
   8,900,000 attempts |   115 sec | 77,108 attempts / sec |  34 solutions found | searching for (0,2,0)
   9,000,000 attempts |   117 sec | 77,093 attempts / sec |  36 solutions found | searching for (0,2,0)
   9,100,000 attempts |   118 sec | 77,076 attempts / sec |  36 solutions found | searching for (0,2,0)
   9,200,000 attempts |   119 sec | 77,049 attempts / sec |  36 solutions found | searching for (0,2,0)
   9,300,000 attempts |   121 sec | 77,029 attempts / sec |  36 solutions found | searching for (0,2,0)
   9,400,000 attempts |   122 sec | 77,012 attempts / sec |  36 solutions found | searching for (0,2,0)
   9,500,000 attempts |   123 sec | 76,993 attempts / sec |  36 solutions found | searching for (0,2,0)
   9,600,000 attempts |   125 sec | 76,981 attempts / sec |  36 solutions found | searching for (0,2,0)
   9,700,000 attempts |   126 sec | 76,967 attempts / sec |  36 solutions found | searching for (0,2,0)
   9,800,000 attempts |   127 sec | 76,952 attempts / sec |  38 solutions found | searching for (0,2,0)
   9,900,000 attempts |   129 sec | 76,941 attempts / sec |  38 solutions found | searching for (0,2,0)
  10,000,000 attempts |   130 sec | 76,924 attempts / sec |  40 solutions found | searching for (0,2,0)
  10,100,000 attempts |   131 sec | 76,911 attempts / sec |  40 solutions found | searching for (0,2,0)
  10,200,000 attempts |   133 sec | 76,894 attempts / sec |  40 solutions found | searching for (0,2,0)
  10,300,000 attempts |   134 sec | 76,894 attempts / sec |  40 solutions found | searching for (0,2,0)
  10,400,000 attempts |   135 sec | 76,903 attempts / sec |  40 solutions found | searching for (0,2,0)
  10,500,000 attempts |   137 sec | 76,912 attempts / sec |  40 solutions found | searching for (0,2,0)
  10,600,000 attempts |   138 sec | 76,924 attempts / sec |  40 solutions found | searching for (0,2,0)
  10,700,000 attempts |   139 sec | 76,935 attempts / sec |  40 solutions found | searching for (0,2,0)
  10,800,000 attempts |   140 sec | 76,930 attempts / sec |  40 solutions found | searching for (0,2,1)
  10,900,000 attempts |   142 sec | 76,933 attempts / sec |  40 solutions found | searching for (0,2,3)
  11,000,000 attempts |   143 sec | 76,945 attempts / sec |  42 solutions found | searching for (0,2,3)
  11,100,000 attempts |   144 sec | 76,936 attempts / sec |  44 solutions found | searching for (0,2,3)
  11,200,000 attempts |   146 sec | 76,945 attempts / sec |  44 solutions found | searching for (0,2,3)
  11,300,000 attempts |   147 sec | 76,942 attempts / sec |  44 solutions found | searching for (0,2,3)
  11,400,000 attempts |   148 sec | 76,940 attempts / sec |  44 solutions found | searching for (0,2,3)
  11,500,000 attempts |   149 sec | 76,944 attempts / sec |  44 solutions found | searching for (0,2,3)
  11,600,000 attempts |   151 sec | 76,948 attempts / sec |  44 solutions found | searching for (0,2,3)
  11,700,000 attempts |   152 sec | 76,942 attempts / sec |  44 solutions found | searching for (0,2,3)
  11,800,000 attempts |   153 sec | 76,940 attempts / sec |  44 solutions found | searching for (0,2,3)
  11,900,000 attempts |   155 sec | 76,923 attempts / sec |  44 solutions found | searching for (0,2,3)
  12,000,000 attempts |   156 sec | 76,921 attempts / sec |  46 solutions found | searching for (0,2,3)
  12,100,000 attempts |   157 sec | 76,923 attempts / sec |  48 solutions found | searching for (0,2,3)
  12,200,000 attempts |   159 sec | 76,922 attempts / sec |  48 solutions found | searching for (0,2,3)
